year,Qa
1921,1511.75
1922,1399.94
1923,1326.51
1924,1824.6
1925,1492.59
1926,1882.87
1927,2023.07
1928,1497.41
1929,1871.01
1930,1595.64
1931,689.73
1932,1642.35
1933,2438.39
1934,1662.16
1935,2055.04
1936,1394.08
1937,2025.48
1938,3087.68
1939,2822.44
1940,1925.42
1941,1747.96
1942,2558.49
1943,2710.07
1944,1736.72
1945,2477.43
1946,1593.05
1947,1993.01
1948,1948.38
1949,2563.26
1950,2522.35
1951,2441.93
1952,2301.93
1953,2369.69
1954,1586.52
1955,1843.29
1956,2273.43
1957,1395.83
1958,1078.87
1959,1663.74
1960,1239.39
1961,2036.18
1962,1221.88
1963,1968.24
1964,2014.7
1965,1760.43
1966,1500.35
1967,1789.48
1968,1448.98
1969,1762.47
1970,3456.35
1971,3832.6
1972,1976.64
1973,4254.31
1974,2349.97
1975,3720.57
1976,1621.01
1977,1925.65
1978,2801.7
1979,1080.5
1980,1684.84
1981,2305.81
1982,1081.22
1983,1248.4
1984,1409.54
1985,1398.99
1986,1285.87
1987,1209.06
1988,1620.32
1989,1286.44
1990,1067.25
1991,740.61
1992,734.19
1993,678.17
1994,2373.9
1995,2096.07
1996,1395.57
1997,986.34
1998,487.85
1999,980.97
2000,1212.52
2001,1392.28
2002,1847.5
2003,980.38
2004,1814.1
2005,2638.91
